chr	start	end	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
chr1	1747169	1747292			promoter	promoter	1177				6		-	13750		ENSG00000290854.2	326121
chr1	1924536	1924634			inside intron	inside	2769	inside intron	-15	6	11	inside transcription region	-	5320		ENSG00000142609.20	88204
chr1	1944392	1944437			inside exon	inside	59349	inside exon	0	21	39	inside transcription region	-	81829		ENSG00000142609.20	88203
chr1	1946615	1947019			covers exon(s)	inside	13087	covers exon(s)	0	4	5	inside transcription region	-	13758		ENSG00000142609.20	88205
chr1	1954906	1955026			inside exon	inside	48811	inside exon	0	18	18	inside transcription region	-	50524		ENSG00000142609.20	88206
chr1	2021687	2021838			inside intron	inside	2203	inside intron	-2195	1	8	inside transcription region	+	11233		ENSG00000187730.9	154172
chr1	2025586	2026153			overlaps exon downstream	inside	60	overlaps exon downstream	0	1	4	inside transcription region	+	3659		ENSG00000187730.9	154177
chr1	2059766	2060553			inside intron	inside	4087	inside intron	-174	3	4	inside transcription region	+	79668		ENSG00000067606.17	12296
chr1	2089983	2090221			inside intron	inside	7735	inside intron	-7522	1	6	inside transcription region	+	68688		ENSG00000067606.17	12303
chr1	2103313	2103485			inside intron	inside	21065	inside intron	-20852	1	6	inside transcription region	+	68688		ENSG00000067606.17	12303
chr1	2104272	2104723			covers exon(s)	inside	194	covers exon(s)	0	2	2	inside transcription region	-	1566		ENSG00000308181.1	380550
chr1	2109006	2109230			inside intron	inside	4267	inside intron	-4110	1	8	5' UTR	+	51348		ENSG00000067606.17	12305
chr1	2124314	2124598			inside intron	inside	8109	inside intron	-8003	1	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2126978	2127229			inside intron	inside	10773	inside intron	8032	2	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2127913	2128265			inside intron	inside	11708	inside intron	6996	2	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2132246	2132612			inside intron	inside	16041	inside intron	2649	2	6	5' UTR	+	34692		ENSG00000067606.17	12307
chr1	2133848	2134854			overlaps exon downstream	inside	210	overlaps exon downstream	0	1	5	5' UTR	+	15286		ENSG00000067606.17	12308
chr1	2158138	2158596			inside intron	inside	12751	inside intron	-2045	5	14	inside transcription region	+	39729		ENSG00000067606.17	12314
chr1	2189201	2190617			covers exon(s)	inside	4134	covers exon(s)	0	3	4	inside transcription region	-	9576		ENSG00000162585.17	111473
chr1	2204208	2204322			inside intron	inside	8398	inside intron	-577	3	8	inside transcription region	-	23172		ENSG00000162585.17	111478
chr1	2213515	2214669			inside intron	inside	992	inside intron	-870	1	2	inside transcription region	+	8215		ENSG00000234396.3	216357
chr1	2300854	2301414			inside intron	inside	52858	inside intron	1563	2	3	inside transcription region	+	55380		ENSG00000157933.11	106165
chr1	2302690	2302973			inside intron	inside	54694	inside intron	4	2	3	inside transcription region	+	55380		ENSG00000157933.11	106165
chr1	2314241	2314310			promoter	promoter	607				4		+	4357		ENSG00000287356.2	312115
chr1	2322767	2323185			covers exon(s)	inside	68369	covers exon(s)	0	13	14	inside transcription region	-	70301		ENSG00000116151.14	51636
chr1	2336129	2336495			overlaps exon downstream	inside	55192	overlaps exon downstream	0	11	12	inside transcription region	-	59561		ENSG00000116151.14	51637
chr1	2347155	2347389			inside intron	inside	44298	inside intron	10042	9	12	inside transcription region	-	59561		ENSG00000116151.14	51637
chr1	2385131	2385345			inside intron	inside	6326	inside intron	-65	5	7	inside transcription region	-	13616		ENSG00000116151.14	51643
chr1	2437995	2438517			inside intron	inside	12015	inside intron	-7365	2	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2441810	2442100			inside intron	inside	15830	inside intron	-11180	2	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2444300	2444680			inside intron	inside	18320	inside intron	-13670	2	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2445312	2445796			inside intron	inside	19332	inside intron	-14682	2	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2448162	2448263			inside intron	inside	22182	inside intron	-17532	2	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2449834	2450419			inside intron	inside	23854	inside intron	-19204	2	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2451931	2452984			inside intron	inside	25951	inside intron	-21301	2	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2455927	2456242			inside intron	inside	29947	inside intron	22233	3	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2459151	2460142			inside intron	inside	33171	inside intron	18333	3	4	inside transcription region	+	53824		ENSG00000149527.18	97449
chr1	2493545	2493847			inside exon	inside	632	inside exon	0	2	2	inside transcription region	-	1042		ENSG00000229393.1	200962
chr1	2531509	2533198			inside intron	inside	1445	inside intron	-1406	1	2	inside transcription region	+	17396		ENSG00000272449.4	290465
chr1	2543171	2543311			inside intron	inside	13107	inside intron	2657	2	2	inside transcription region	+	17396		ENSG00000272449.4	290465
chr1	2545310	2545505			inside intron	inside	15246	inside intron	463	2	2	inside transcription region	+	17396		ENSG00000272449.4	290465
chr1	2555271	2556388			inside exon	inside	671	inside exon	0	2	6	inside transcription region	-	7139		ENSG00000238164.7	228350
chr1	2556718	2557281			overlaps exon downstream	inside	147	overlaps exon downstream	0	1	5	inside transcription region	+	7178		ENSG00000157873.18	106092
chr1	2584962	2585214			promoter	promoter	376				1		+	693		ENSG00000289610.3	319585
chr1	2593785	2594005			overlaps exon downstream	inside	68	overlaps exon downstream	0	1	3	inside transcription region	-	1418		ENSG00000142606.16	88198
chr1	2610402	2610593			covers exon(s)	inside	808	covers exon(s)	0	2	5	inside transcription region	-	5120		ENSG00000142606.16	88199
chr1	2790004	2790275			inside exon	inside	11418	inside exon	0	3	9	inside transcription region	-	164707		ENSG00000215912.13	178395
chr1	2792885	2793811			inside intron	inside	7882	inside intron	-2538	3	9	inside transcription region	-	164707		ENSG00000215912.13	178395
chr1	2821908	2822564			overlaps 5'	overlaps 5'	0	covers exon(s)	0	2	2	inside transcription region	+	1201		ENSG00000302855.1	365279
chr1	2874599	2875009			covers exon(s)	inside	666	covers exon(s)	0	2	3	inside transcription region	-	2022		ENSG00000300015.1	357941
chr1	2875811	2876506			promoter	promoter	136				3		-	2022		ENSG00000300015.1	357941
chr1	2882973	2883211			upstream	upstream	7298				3		-	2022		ENSG00000300015.1	357941
chr1	2912670	2912988			upstream	upstream	36995				3		-	2022		ENSG00000300015.1	357941
chr1	2922057	2922155			downstream	downstream	46495				4		-	8295		ENSG00000284745.2	303942
chr1	2947084	2947763			downstream	downstream	20887				4		-	8295		ENSG00000284745.2	303942
chr1	2949220	2950250			downstream	downstream	18400				4		-	8295		ENSG00000284745.2	303942
chr1	2969762	2970337			promoter	promoter	1055				3		-	7689		ENSG00000284745.2	303944
chr1	3003477	3004171			upstream	upstream	17296				1		+	1436		ENSG00000169717.7	127683
chr1	3028899	3028998			downstream	downstream	7432				1		+	1436		ENSG00000169717.7	127683
chr1	3031412	3031708			downstream	downstream	9945				1		+	1436		ENSG00000169717.7	127683
chr1	3062243	3064182			inside intron	inside	3849	inside intron	-911	2	3	inside transcription region	-	8367		ENSG00000177133.15	139311
chr1	3071148	3071510			inside intron	inside	1937	inside intron	-1851	1	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3072575	3072922			inside intron	inside	3364	inside intron	-3278	1	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3080319	3080510			inside intron	inside	11108	inside intron	-11022	1	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3101138	3101526			inside intron	inside	31927	inside intron	-31841	1	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3121560	3122205			inside intron	inside	52349	inside intron	-52263	1	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3125977	3126523			inside intron	inside	56766	inside intron	-56680	1	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3162051	3162657			inside intron	inside	4495	inside intron	-170	2	3	inside transcription region	-	5876		ENSG00000306427.1	376035
chr1	3198745	3198932			inside intron	inside	129534	inside intron	-12270	2	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3215578	3216231			inside intron	inside	146367	inside intron	27855	3	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3219631	3219894			inside intron	inside	150420	inside intron	24192	3	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3228115	3228270			inside intron	inside	158904	inside intron	15816	3	16	inside transcription region	+	365131		ENSG00000142611.17	88215
chr1	3238495	3238748			inside intron	inside	564	inside intron	-399	1	16	inside transcription region	+	195994		ENSG00000142611.17	88216
chr1	3247606	3247788			inside intron	inside	3474	inside intron	-3468	1	3	inside transcription region	+	142786		ENSG00000142611.17	88217
chr1	3279442	3279608			inside intron	inside	35310	inside intron	-35304	1	3	inside transcription region	+	142786		ENSG00000142611.17	88217
chr1	3304337	3304607			inside intron	inside	60205	inside intron	-60199	1	3	inside transcription region	+	142786		ENSG00000142611.17	88217
chr1	3313201	3313386			inside exon	inside	9763	inside exon	0	2	2	inside transcription region	-	10097		ENSG00000287828.2	313846
chr1	3323296	3323618			inside intron	inside	79164	inside intron	61533	2	3	inside transcription region	+	142786		ENSG00000142611.17	88217
chr1	3356361	3356624			inside intron	inside	112229	inside intron	28527	2	3	inside transcription region	+	142786		ENSG00000142611.17	88217
chr1	3360596	3361422			inside intron	inside	116464	inside intron	23729	2	3	inside transcription region	+	142786		ENSG00000142611.17	88217
chr1	3402157	3402477			inside intron	inside	5666	inside intron	313	2	13	inside transcription region	+	37802		ENSG00000142611.17	88218
chr1	3423345	3423706			inside intron	inside	26854	inside intron	1874	9	13	inside transcription region	+	37802		ENSG00000142611.17	88218
chr1	3431449	3431643			inside intron	inside	6530	inside intron	-340	4	5	inside transcription region	+	9176		ENSG00000142611.17	88219
chr1	3432453	3432749			inside intron	inside	7534	inside intron	927	5	5	inside transcription region	+	9176		ENSG00000142611.17	88219
chr1	3471781	3471885			overlaps exon downstream	inside	157	overlaps exon downstream	0	1	5	inside transcription region	+	4395		ENSG00000130762.15	68267
chr1	3483913	3484136			downstream	downstream	11144				8		+	8344		ENSG00000130762.15	68268
chr1	3504251	3504567			inside intron	inside	106710	inside intron	640	17	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3529274	3529731			inside intron	inside	81546	inside intron	-5027	5	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3538576	3538749			inside intron	inside	72528	inside intron	8248	4	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3539920	3540490			inside intron	inside	70787	inside intron	6507	4	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3557382	3557555			inside intron	inside	53722	inside intron	-10258	4	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3576101	3577354			inside intron	inside	33923	inside intron	17983	3	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3590542	3590637			inside intron	inside	20640	inside intron	4700	3	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3597780	3598261			inside intron	inside	13016	inside intron	-2332	3	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3599155	3599745			inside intron	inside	11532	inside intron	2720	2	37	inside transcription region	-	120715		ENSG00000162591.17	111488
chr1	3668935	3669113			inside intron	inside	16370	inside intron	13219	2	13	5' UTR	+	80727		ENSG00000078900.16	17736
chr1	3708988	3709215			inside intron	inside	10930	inside intron	-1196	2	12	inside transcription region	+	35033		ENSG00000078900.16	17745
chr1	3712186	3715051			inside intron	inside	14128	inside intron	-4394	2	12	inside transcription region	+	35033		ENSG00000078900.16	17745
chr1	3716487	3717480			inside intron	inside	18429	inside intron	4540	3	12	inside transcription region	+	35033		ENSG00000078900.16	17745
chr1	3727273	3727933			covers exon(s)	inside	29215	covers exon(s)	0	5	12	inside transcription region	+	35033		ENSG00000078900.16	17745
chr1	3731612	3731746			inside intron	inside	4134	inside intron	-55	5	6	inside transcription region	+	5889		ENSG00000078900.16	17746
chr1	3745957	3746072			inside exon	inside	835	inside exon	0	1	4	inside transcription region	-	7202		ENSG00000293478.2	340138
chr1	3834820	3834966			overlaps exon downstream	inside	22232	overlaps exon downstream	0	11	12	inside transcription region	-	23527		ENSG00000116198.14	51716
chr1	3858403	3858804			overlaps exon upstream	inside	803	overlaps exon upstream	0	2	7	inside transcription region	+	27829		ENSG00000169598.17	127487
chr1	4027456	4027960			inside intron	inside	8058	inside intron	1046	2	3	inside transcription region	+	73661		ENSG00000284668.3	303710
chr1	4120691	4120916			upstream	upstream	11698				1		-	914		ENSG00000308587.1	381674
chr1	4301515	4302073			downstream	downstream	17595				2		-	1786		ENSG00000302287.1	363883
chr1	4599930	4600625			upstream	upstream	3065				2		+	5093		ENSG00000300565.1	359597
chr1	4711024	4711837			inside intron	inside	56292	inside intron	62	2	6	inside transcription region	+	123062		ENSG00000196581.11	158187
chr1	4733834	4734088			covers exon(s)	inside	904	covers exon(s)	0	1	2	inside transcription region	-	4720		ENSG00000287586.1	312876
chr1	5289326	5292073			downstream	downstream	3119				3		-	2707		ENSG00000306645.1	376693
chr1	5832144	5832643			promoter	promoter	1743				2		+	3924		ENSG00000298180.1	353405
chr1	5857706	5857966			downstream	downstream	4775				1		-	69		ENSG00000264101.1	279013
chr1	6025605	6026470			inside intron	inside	32845	inside intron	14046	2	7	5' UTR	+	93611		ENSG00000069424.16	13097
chr1	6065099	6065557			inside intron	inside	18985	inside intron	7197	2	14	5' UTR	+	52741		ENSG00000069424.16	13119
chr1	6072125	6072314			inside intron	inside	6372	inside intron	440	2	14	inside transcription region	+	34270		ENSG00000069424.16	13120
chr1	6073673	6074632			overlaps exon downstream	inside	258	overlaps exon downstream	0	1	4	inside transcription region	+	14096		ENSG00000069424.16	13121
chr1	6127525	6128204			covers exon(s)	inside	338	covers exon(s)	0	2	6	inside transcription region	-	3008		ENSG00000116254.18	51776
chr1	6148128	6148584			inside intron	inside	31439	inside intron	269	9	34	inside transcription region	-	74932		ENSG00000116254.18	51775
chr1	6150475	6151129			overlaps exon downstream	inside	28894	overlaps exon downstream	0	7	34	inside transcription region	-	74932		ENSG00000116254.18	51775
chr1	6207505	6207745			overlaps exon downstream	inside	1386	overlaps exon downstream	0	3	18	inside transcription region	+	15180		ENSG00000158286.13	106442
chr1	6208463	6208558			inside intron	inside	2344	inside intron	322	4	18	inside transcription region	+	15180		ENSG00000158286.13	106442
chr1	6241553	6241638			downstream	downstream	5404				4		+	3299		ENSG00000225077.4	186031
chr1	6243156	6243279			promoter	promoter	900				4		+	1399		ENSG00000173673.9	134423
chr1	6273583	6273927			inside intron	inside	119434	inside intron	7174	9	10	3'UTR	-	129088		ENSG00000097021.21	25253
chr1	6276229	6276881			inside intron	inside	116480	inside intron	4220	9	10	3'UTR	-	129088		ENSG00000097021.21	25253
chr1	6429522	6429722			inside intron	inside	4734	inside intron	-1102	2	11	inside transcription region	+	31883		ENSG00000187017.18	153290
chr1	6449284	6449568			inside intron	inside	229	inside intron	-192	1	7	inside transcription region	+	11871		ENSG00000187017.18	153299
chr1	6455984	6456264			inside intron	inside	4267	inside intron	919	2	4	inside transcription region	+	8688		ENSG00000187017.18	153303
chr1	6484915	6485144			inside intron	inside	808	inside intron	665	1	4	inside transcription region	-	10504		ENSG00000171680.23	130831
chr1	6507417	6508028			covers exon(s)	inside	12046	covers exon(s)	0	3	3	5' UTR	-	23576		ENSG00000171680.23	130832
chr1	6579380	6579427			inside exon	inside	24071	inside exon	0	5	5	inside transcription region	+	24317		ENSG00000173662.21	134419
chr1	6587508	6587690			covers exon(s)	inside	252	covers exon(s)	0	2	6	inside transcription region	+	1904		ENSG00000204859.13	169613
chr1	6962033	6962247			inside intron	inside	176502	inside intron	129056	4	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	6963565	6963651			inside intron	inside	178034	inside intron	127652	4	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7042363	7042668			inside intron	inside	256832	inside intron	48635	4	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7149606	7149698			inside intron	inside	364075	inside intron	-58234	4	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7199078	7199558			inside intron	inside	413547	inside intron	49932	5	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7373966	7374421			inside intron	inside	588435	inside intron	-124339	5	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7441387	7441619			inside intron	inside	655856	inside intron	-191760	5	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7568357	7569144			inside intron	inside	782826	inside intron	71255	6	21	inside transcription region	+	982309		ENSG00000171735.21	130955
chr1	7784835	7785156			overlaps exon downstream	inside	132	overlaps exon downstream	0	1	21	overlaps 5' UTR	+	60474		ENSG00000049246.15	7974
chr1	8238487	8238585			promoter	promoter	1416				3		+	9008		ENSG00000298156.1	353354
chr1	8357734	8358025			inside intron	inside	4819	inside intron	-1487	4	5	inside transcription region	-	7323		ENSG00000142599.20	88177
chr1	8424584	8424999			inside intron	inside	101028	inside intron	-1776	7	7	inside transcription region	-	103237		ENSG00000142599.20	88183
chr1	9039257	9040008			inside intron	inside	29627	inside intron	-20	7	12	inside transcription region	-	34529		ENSG00000142583.18	88160
chr1	9183680	9183943			overlaps exon downstream	inside	462	overlaps exon downstream	0	1	2	inside transcription region	+	9282		ENSG00000234546.6	216876
chr1	9198419	9198573			overlaps exon upstream	inside	1229	overlaps exon upstream	0	2	2	inside transcription region	+	1571		ENSG00000301983.1	363200
chr1	9198800	9199244			inside intron	inside	2872	inside intron	2736	1	2	inside transcription region	-	20109		ENSG00000228526.9	198138
chr1	9242513	9242791			inside intron	inside	2669	inside intron	2133	2	5	inside transcription region	+	28054		ENSG00000049239.13	7965
chr1	9247880	9248945			inside intron	inside	8036	inside intron	-796	3	5	inside transcription region	+	28054		ENSG00000049239.13	7965
chr1	9294225	9294517			inside intron	inside	1331	inside intron	-1153	1	3	5' UTR	+	76638		ENSG00000171621.14	130748
chr1	9298026	9298909			inside intron	inside	3498	inside intron	-3431	1	2	5' UTR	+	61969		ENSG00000171621.14	130749
chr1	9323021	9323416			inside intron	inside	11273	inside intron	-1370	2	2	inside transcription region	-	13515		ENSG00000294252.1	343490
chr1	9324187	9324498			inside intron	inside	10191	inside intron	-2536	2	2	inside transcription region	-	13515		ENSG00000294252.1	343490
chr1	9324938	9325557			inside intron	inside	9132	inside intron	-3287	2	2	inside transcription region	-	13515		ENSG00000294252.1	343490
chr1	9340139	9340373			inside intron	inside	45611	inside intron	15369	2	2	5' UTR	+	61969		ENSG00000171621.14	130749
chr1	9455831	9456175			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	3	inside transcription region	-	6840		ENSG00000284693.3	303770
chr1	9536299	9537606			promoter	promoter	1859				7		+	45708		ENSG00000171612.7	130740
chr1	9606747	9607315			inside intron	inside	533	inside intron	-108	1	2	inside transcription region	+	1471		ENSG00000188807.13	155697
chr1	9690066	9690450			inside intron	inside	496	inside intron	-344	1	24	5' UTR	+	39336		ENSG00000171608.18	130725
chr1	10638211	10638412			inside intron	inside	351	inside intron	302	1	2	inside transcription region	-	1642		ENSG00000130940.15	68619
chr1	10639338	10639515			inside exon	inside	97	inside exon	0	1	2	inside transcription region	+	15092		ENSG00000272078.1	289585
chr1	10640333	10640749			inside intron	inside	1092	inside intron	-255	1	2	inside transcription region	+	15092		ENSG00000272078.1	289585
chr1	10649286	10649725			inside exon	inside	10045	inside exon	0	2	2	inside transcription region	+	15092		ENSG00000272078.1	289585
chr1	10663573	10663911			inside intron	inside	30001	inside intron	1171	2	3	inside transcription region	-	33175		ENSG00000130940.15	68625
chr1	10665973	10666154			inside intron	inside	27758	inside intron	-401	2	3	inside transcription region	-	33175		ENSG00000130940.15	68625
chr1	10668178	10668364			inside intron	inside	25548	inside intron	-2606	2	3	inside transcription region	-	33175		ENSG00000130940.15	68625
chr1	10704393	10704829			overlaps exon upstream	inside	746	overlaps exon upstream	0	2	2	inside transcription region	-	1379		ENSG00000130940.15	68626
chr1	10727738	10728053			inside intron	inside	68597	inside intron	-22193	3	16	5' UTR	-	149437		ENSG00000130940.15	68621
chr1	10754679	10754826			inside intron	inside	41824	inside intron	5874	2	16	5' UTR	-	149437		ENSG00000130940.15	68621
chr1	10787638	10787752			inside intron	inside	8898	inside intron	8811	1	16	5' UTR	-	149437		ENSG00000130940.15	68621
chr1	10808891	10809518			upstream	upstream	12241				16		-	149437		ENSG00000130940.15	68621
chr1	10889210	10889357			upstream	upstream	6404				1		+	237		ENSG00000225158.2	186222
chr1	10946141	10946417			downstream	downstream	3334				2		-	3280		ENSG00000175262.15	136872
chr1	11011854	11011910			promoter	promoter	434				5		+	8145		ENSG00000120948.19	56866
chr1	11453874	11454559			overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	2	inside transcription region	-	12119		ENSG00000299102.1	355638
chr1	11458238	11458615			upstream	upstream	3974				2		-	12119		ENSG00000299102.1	355638
chr1	11477301	11478327			promoter	promoter	828				21		+	58396		ENSG00000204624.8	168981
chr1	11650817	11651084			overlaps exon upstream	inside	2445	overlaps exon upstream	0	2	2	inside transcription region	-	2792		ENSG00000116661.11	52136
chr1	11653930	11654049			inside intron	inside	1736	inside intron	1590	1	2	inside transcription region	-	5238		ENSG00000116661.11	52135
chr1	11784547	11784869			overlaps exon downstream	inside	4730	overlaps exon downstream	0	3	9	inside transcription region	+	9661		ENSG00000215910.8	178392
chr1	11925254	11925690			inside exon	inside	738	inside exon	0	1	2	inside transcription region	-	4253		ENSG00000116685.17	52191
chr1	12540232	12540767			overlaps exon upstream	inside	12078	overlaps exon upstream	0	3	3	inside transcription region	+	12708		ENSG00000229484.4	201228
