chr	start	end	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand	geneL	codingL	Geneid	subjectHits
chr1	21360848	21361562			downstream	downstream	14539				2		+	1585		ENSG00000296859.1	350195
chr1	21437342	21437847			overlaps exon downstream	inside	86	overlaps exon downstream	0	1	2	inside transcription region	+	2560		ENSG00000295832.1	347322
chr1	21503689	21504183			upstream	upstream	5214				5		+	54814		ENSG00000162551.14	111433
chr1	21539857	21540110			inside intron	inside	30429	inside intron	20515	2	11	5' UTR	+	68747		ENSG00000162551.14	111436
chr1	21914818	21915410			inside intron	inside	21900	inside intron	-18507	2	97	inside transcription region	-	115066		ENSG00000142798.20	88433
chr1	22011556	22012964			inside intron	inside	6251	inside intron	-1698	2	4	inside transcription region	+	25312		ENSG00000285959.1	306477
chr1	22428505	22429005			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	9	5' UTR	+	82925		ENSG00000184677.18	149219
chr1	22593281	22593705			covers exon(s)	inside	29792	covers exon(s)	0	7	17	inside transcription region	+	40106		ENSG00000070886.12	13810
chr1	22952946	22953512			overlaps 3'	overlaps 3'	19354	overlaps exon downstream	0	8	8	overlaps 3'UTR	-	19823		ENSG00000215906.9	178384
chr1	23169227	23169585			inside intron	inside	8567	inside intron	-202	2	5	inside transcription region	-	94122		ENSG00000169641.16	127560
chr1	23837747	23838029			inside intron	inside	591	inside intron	34	1	10	inside transcription region	-	36733		ENSG00000117305.15	52991
chr1	23868757	23869201			promoter	promoter	467				8		-	23213		ENSG00000179163.12	142205
chr1	23882533	23883186			inside intron	inside	30176	inside intron	-6870	2	2	5' UTR	-	42847		ENSG00000188822.8	155723
chr1	24893270	24893881			downstream	downstream	71129				6		-	65499		ENSG00000020633.19	4972
chr1	24970107	24970231			inside exon	inside	634	inside exon	0	1	1	inside transcription region	-	2442		ENSG00000261025.2	274926
chr1	25245558	25246073			inside intron	inside	12973	inside intron	12291	2	2	inside transcription region	+	26218		ENSG00000284657.2	303670
chr1	25266473	25268669			inside intron	inside	69544	inside intron	-19443	2	2	5' UTR	-	91518		ENSG00000117616.18	53409
chr1	25283296	25283709			inside intron	inside	10748	inside intron	863	2	9	inside transcription region	+	56663		ENSG00000187010.21	153275
chr1	25320968	25321458			inside intron	inside	48420	inside intron	-3888	8	9	inside transcription region	+	56663		ENSG00000187010.21	153275
chr1	26133882	26134837			upstream	upstream	7410				2		-	8431		ENSG00000309933.1	384858
chr1	26200416	26201763			covers exon(s)	inside	9788	covers exon(s)	0	9	10	overlaps 3'UTR	+	12340		ENSG00000188782.9	155670
chr1	26473659	26474531			overlaps exon downstream	inside	230	overlaps exon downstream	0	1	2	inside transcription region	+	1931		ENSG00000198830.13	164060
chr1	27576313	27576470			inside intron	inside	27693	inside intron	-17429	3	3	inside transcription region	-	45349		ENSG00000126705.15	63519
chr1	27725107	27725322			overlaps exon upstream	inside	441	overlaps exon upstream	0	2	2	inside transcription region	-	897		ENSG00000287244.2	311504
chr1	27772337	27772643			promoter	promoter	576				9		+	51224		ENSG00000117758.14	53603
chr1	27935874	27936073			inside intron	inside	764	inside intron	-629	1	7	inside transcription region	+	24041		ENSG00000130768.15	68278
chr1	28246521	28247076			overlaps exon downstream	inside	134	overlaps exon downstream	0	1	3	inside transcription region	-	6231		ENSG00000270605.2	287850
chr1	28247766	28248101			close to 3'	close to 3'	622				1		+	424		ENSG00000271398.1	288676
chr1	28437440	28438410			inside intron	inside	67696	inside intron	19421	3	17	inside transcription region	+	127412		ENSG00000204138.13	167728
chr1	28775613	28775862			downstream	downstream	38673				4		+	32835		ENSG00000198492.16	163004
chr1	29202467	29202721			inside intron	inside	28180	inside intron	-421	7	7	inside transcription region	-	28884		ENSG00000116353.16	51894
chr1	29259291	29259576			covers exon(s)	inside	22652	covers exon(s)	0	4	31	inside transcription region	+	90030		ENSG00000060656.20	9921
chr1	29766542	29767494			inside intron	inside	11367	inside intron	-6149	2	5	inside transcription region	+	35422		ENSG00000284676.1	303722
chr1	30553170	30554365			downstream	downstream	22460				1		-	170		ENSG00000289710.1	319749
chr1	30782854	30783403			promoter	promoter	408				3		-	7450		ENSG00000306105.1	374851
chr1	31154207	31154704			overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	2	inside transcription region	+	1659		ENSG00000308292.1	380985
chr1	31181415	31181650			inside exon	inside	26	inside exon	0	1	2	inside transcription region	-	1136		ENSG00000084628.10	20107
chr1	31181886	31182081			overlaps exon upstream	inside	6072	overlaps exon upstream	0	4	5	inside transcription region	-	6564		ENSG00000084628.10	20108
chr1	31199817	31200289			inside intron	inside	39598	inside intron	-11629	2	7	inside transcription region	-	60142		ENSG00000084628.10	20106
chr1	31586742	31587570			overlaps two exons	inside	3229	overlaps two exons	0	4	5	inside transcription region	+	4173		ENSG00000142910.16	88513
chr1	31755859	31756150			overlaps exon downstream	inside	8743	overlaps exon downstream	0	2	6	inside transcription region	-	23093		ENSG00000121753.13	57511
chr1	31944235	31944347			inside intron	inside	509	inside intron	245	1	2	inside transcription region	-	25726		ENSG00000184007.22	148174
chr1	32239783	32240003			inside exon	inside	1707	inside exon	0	1	1	inside transcription region	-	2251		ENSG00000291132.2	332448
chr1	32447991	32448176			inside intron	inside	21333	inside intron	15038	2	3	inside transcription region	+	37938		ENSG00000304771.1	371723
chr1	32470923	32471079			inside exon	inside	5851	inside exon	0	2	4	inside transcription region	+	31614		ENSG00000273274.2	292071
chr1	32695052	32695379			inside exon	inside	7377	inside exon	0	2	4	inside transcription region	-	21265		ENSG00000162520.15	111391
chr1	33307461	33307502			inside intron	inside	86	inside intron	-11	1	2	inside transcription region	+	26297		ENSG00000225313.6	186630
chr1	33428860	33429904			inside intron	inside	1191	inside intron	1071	1	15	5' UTR	-	107469		ENSG00000134686.21	74352
chr1	34638860	34643963			overlaps 3'	overlaps 3'	41769	covers exon(s)	0	2	2	inside transcription region	-	45575		ENSG00000287703.1	313362
chr1	34764553	34766740			inside intron	inside	21357	inside intron	-2677	2	2	inside transcription region	-	26671		ENSG00000255811.1	262181
chr1	35210764	35211778			downstream	downstream	14795				1		+	93		ENSG00000201868.1	165941
chr1	35640523	35640760			inside intron	inside	766	inside intron	581	1	6	inside transcription region	-	41985		ENSG00000126067.12	62919
chr1	35642565	35642893			promoter	promoter	1039				6		-	41985		ENSG00000126067.12	62919
chr1	36400715	36401547			overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	2	inside transcription region	+	4676		ENSG00000297367.1	351481
chr1	37411495	37412868			inside intron	inside	61536	inside intron	-12432	2	2	inside transcription region	-	75727		ENSG00000233621.4	213918
chr1	37690862	37691411			covers exon(s)	inside	838	covers exon(s)	0	2	3	5' UTR	-	2481		ENSG00000116922.15	52541
chr1	37995612	37996039			downstream	downstream	9475				6		-	8750		ENSG00000183386.11	147256
chr1	38605413	38605815			inside intron	inside	8575	inside intron	8114	1	2	inside transcription region	-	45735		ENSG00000295881.1	347461
chr1	38782436	38782950			covers exon(s)	inside	21135	covers exon(s)	0	3	3	inside transcription region	-	22918		ENSG00000284632.2	303522
chr1	38783743	38784367			inside intron	inside	19718	inside intron	172	2	3	inside transcription region	-	22918		ENSG00000284632.2	303522
chr1	39108573	39109418			inside intron	inside	3068	inside intron	-2855	1	5	inside transcription region	+	154632		ENSG00000127603.32	64392
chr1	39233416	39234444			covers exon(s)	inside	4176	covers exon(s)	0	1	2	inside transcription region	-	11950		ENSG00000287422.1	312360
chr1	39515600	39515881			inside exon	inside	644	inside exon	0	1	1	inside transcription region	+	1534		ENSG00000237624.1	226513
chr1	39770382	39771485			inside intron	inside	17380	inside intron	2822	3	7	inside transcription region	-	31683		ENSG00000116985.12	52598
chr1	39799200	39799849			overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	5	inside transcription region	+	10067		ENSG00000284719.4	303876
chr1	40133184	40133395			inside exon	inside	336	inside exon	0	1	2	inside transcription region	+	3088		ENSG00000299088.1	355617
chr1	40450951	40451202			overlaps exon downstream	inside	475	overlaps exon downstream	0	1	5	overlaps 5' UTR	+	13239		ENSG00000187801.15	154406
chr1	41382016	41383488			inside exon	inside	20094	inside exon	0	2	2	inside transcription region	+	21668		ENSG00000204060.8	167542
chr1	41919809	41920708			inside intron	inside	115217	inside intron	-1284	2	4	inside transcription region	-	188734		ENSG00000127124.16	63934
chr1	42785020	42785100			inside intron	inside	17714	inside intron	4695	5	5	3'UTR	+	22628		ENSG00000283580.4	302335
chr1	42959843	42960047			covers exon(s)	inside	2156	covers exon(s)	0	4	4	inside transcription region	-	2848		ENSG00000283973.3	302756
chr1	43532409	43532623			inside intron	inside	1506	inside intron	-1318	1	8	inside transcription region	+	49175		ENSG00000142949.17	88556
chr1	43558494	43558706			inside intron	inside	13418	inside intron	-4552	3	6	inside transcription region	+	34208		ENSG00000142949.17	88558
chr1	44103459	44103777			inside exon	inside	926	inside exon	0	1	1	inside transcription region	-	1397		ENSG00000271647.1	288942
chr1	44332161	44332773			inside intron	inside	22476	inside intron	6271	3	6	inside transcription region	-	46939		ENSG00000117419.16	53170
chr1	44617452	44618065			inside intron	inside	3187	inside intron	-3154	1	3	inside transcription region	+	12792		ENSG00000187147.19	153516
chr1	44738303	44739090			promoter	promoter	728				11		+	18153		ENSG00000142945.13	88543
chr1	44820443	44820649			inside exon	inside	2611	inside exon	0	5	5	3'UTR	-	3416		ENSG00000117425.15	53172
chr1	46135204	46136016			inside intron	inside	40472	inside intron	40211	1	10	inside transcription region	-	132827		ENSG00000278139.1	297031
chr1	46539407	46540188			inside intron	inside	3781	inside intron	3633	1	2	5' UTR	-	11803		ENSG00000282881.3	301364
chr1	47435074	47435318			close to 3'	close to 3'	2453				2		+	2093		ENSG00000307814.1	379654
chr1	47443293	47443597			downstream	downstream	5249				1		+	2647		ENSG00000186564.6	152645
chr1	47593682	47594130			downstream	downstream	34650				2		+	27408		ENSG00000309980.1	384933
chr1	47711237	47711493			downstream	downstream	22774				3		+	15566		ENSG00000227947.3	195731
chr1	47726936	47727120			downstream	downstream	38473				3		+	15566		ENSG00000227947.3	195731
chr1	47983605	47983870			inside intron	inside	10342	inside intron	10163	1	4	inside transcription region	-	218974		ENSG00000269113.4	286277
chr1	50417657	50418088			inside exon	inside	5355	inside exon	0	3	3	3'UTR	-	5893		ENSG00000142700.12	88370
chr1	50428378	50428549			inside intron	inside	4741	inside intron	-3776	2	5	inside transcription region	+	47514		ENSG00000225767.2	188064
chr1	50952107	50952369			inside intron	inside	7369	inside intron	7302	1	7	inside transcription region	-	253954		ENSG00000185104.21	149875
chr1	50970975	50971135			inside intron	inside	730	inside intron	-477	1	2	inside transcription region	+	4389		ENSG00000123080.12	58919
chr1	50976125	50976511			inside exon	inside	2622	inside exon	0	2	2	inside transcription region	-	3009		ENSG00000299346.1	356284
chr1	50978790	50979366			inside intron	inside	902	inside intron	-790	1	3	inside transcription region	+	32091		ENSG00000299324.1	356158
chr1	51730226	51730609			inside intron	inside	192	inside intron	-101	1	19	5' UTR	+	58435		ENSG00000117859.19	53642
chr1	52633724	52633886			inside intron	inside	131	inside intron	-48	1	3	inside transcription region	+	34095		ENSG00000182183.15	145221
chr1	53136262	53136791			inside intron	inside	5826	inside intron	-1832	2	4	inside transcription region	-	34689		ENSG00000162383.13	111209
chr1	53197734	53198066			inside intron	inside	831	inside intron	-638	1	3	inside transcription region	+	17267		ENSG00000157184.7	105213
chr1	54727111	54729958			covers exon(s)	inside	27815	covers exon(s)	0	13	17	inside transcription region	+	42935		ENSG00000271723.5	288990
chr1	54801550	54801801			promoter	promoter	227				7		-	21611		ENSG00000006555.11	1794
chr1	54805974	54806254			overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	10	overlaps 5' UTR	+	36189		ENSG00000162398.12	111230
chr1	54885946	54886066			inside intron	inside	1129	inside intron	822	1	4	inside transcription region	-	11219		ENSG00000116133.13	51601
chr1	54951148	54951484			inside intron	inside	63741	inside intron	11858	4	4	inside transcription region	+	76440		ENSG00000233203.8	212789
chr1	56410499	56411151			inside intron	inside	72303	inside intron	72111	1	3	3'UTR	-	235087		ENSG00000284686.1	303735
chr1	56983212	56984293			inside intron	inside	13866	inside intron	3133	2	3	inside transcription region	+	20294		ENSG00000236341.2	222565
chr1	57344377	57344764			inside intron	inside	79293	inside intron	-53210	2	7	5' UTR	-	353323		ENSG00000173406.16	134048
chr1	58584196	58585709			covers exon(s)	inside	753	covers exon(s)	0	2	2	inside transcription region	-	2513		ENSG00000299892.1	357613
chr1	58596767	58597339			inside intron	inside	20532	inside intron	-20390	1	3	inside transcription region	+	139499		ENSG00000283445.2	302184
chr1	58779925	58781246			covers exon(s)	inside	2802	covers exon(s)	0	1	4	3'UTR	-	7203		ENSG00000177606.9	140043
chr1	59815680	59815805			inside intron	inside	508	inside intron	-328	1	20	5' UTR	+	57835		ENSG00000134709.13	74379
chr1	59927665	59928023			promoter	promoter	892				9		-	33465		ENSG00000134716.11	74384
chr1	60071479	60072923			covers exon(s)	inside	847	covers exon(s)	0	2	12	overlaps 5' UTR	-	83376		ENSG00000162598.13	111534
chr1	60867788	60868077			inside intron	inside	2456	inside intron	-2321	1	12	inside transcription region	+	592679		ENSG00000162599.18	111538
chr1	61132312	61132900			overlaps exon upstream	inside	43900	overlaps exon upstream	0	2	2	overlaps 3'UTR	+	44616		ENSG00000162599.18	111561
chr1	62783338	62783542			promoter	promoter	590				11		+	81384		ENSG00000125703.15	62125
chr1	63368563	63368657			inside intron	inside	224971	inside intron	-47099	6	7	inside transcription region	-	272744		ENSG00000142856.18	88448
chr1	64472076	64472398			inside intron	inside	1283	inside intron	-1133	1	27	inside transcription region	+	222265		ENSG00000158966.16	107196
chr1	64504131	64504893			inside intron	inside	33338	inside intron	-33188	1	27	inside transcription region	+	222265		ENSG00000158966.16	107196
chr1	64664023	64664698			covers exon(s)	inside	100346	covers exon(s)	0	15	27	inside transcription region	+	129381		ENSG00000158966.16	107199
chr1	65310725	65311385			inside intron	inside	427	inside intron	-348	1	2	inside transcription region	+	8590		ENSG00000290094.2	321227
chr1	65549458	65551066			inside intron	inside	23769	inside intron	14479	2	19	5' UTR	+	109720		ENSG00000116678.20	52177
chr1	65667170	65668088			downstream	downstream	246502				20		+	220891		ENSG00000116678.20	52174
chr1	65993108	65993417			overlaps exon downstream	inside	372	overlaps exon downstream	0	1	3	inside transcription region	+	254808		ENSG00000184588.18	149027
chr1	66753056	66753329			inside intron	inside	524	inside intron	-471	1	5	inside transcription region	+	17975		ENSG00000152760.10	100655
chr1	66923838	66924050			inside intron	inside	646	inside intron	611	1	2	inside transcription region	-	3453		ENSG00000152763.17	100669
